1,세나르,cenar,아…. 덥다.
2,세나르,cenar,오늘은 이정도 캤으면 그래도 한 30탄젠트 가격은 될 것 같은데.
3,세나르,cenar,주변에 잡몹들도 많은데 빨리 집에나 돌아가야지.
4,세나르,cenar,응?
5,???,roserian,야. 왜 애들 안 죽음?
6,???,hesmen,그러게요. 베자 마자 바로 붙는데요?
7,세나르,cenar,(음? 저기도 약초 캐러 온 사람들인가?)
8,세나르,cenar,(확실히 여기가 약초 명당이긴 하지.)
9,세나르,cenar,(흠 근데 옷이 약초 캐러 온 복장이 아닌데?)
10,???,roserian,궁시렁궁시렁
11,세나르,cenar,(아 몰라 그냥 집에 가야지)
12,???,roserian,저기여어어어어!!!!
13,???,roserian,저히점 도와주세요오오오!
14,세나르,cenar,(놀람) 네!?
15,세나르,cenar,저… 저요?
16,???,roserian,거기 사람이라곤 그쪽 밖에 없잖아요
17,세나르,cenar,"(여자 쪽으로 달려간다) 아, 네… 뭐가 필요하신가요?"
18,로즈리안,roserian,흠… 저기 지금 우리가
19,로즈리안,roserian,여길 넘어가려고 하는데 저 커다란 버섯들이 길을 막고 있어서요
20,로즈리안,roserian,저 버섯들이 길을 막고 있어서 치우고 가려했는데 버섯들이 죽지 않아서 넘어 갈 수가 없네요.
21,세나르,cenar,"아, 저 버섯들은 자신을 치료할 수 있는 능력을 가진 효소들을 서로 분비해서 그냥 때려서는 잡기 어려울 거에요."
22,로즈리안,roserian,어쩐지 베자마자 다시 자라더군요. 그럼 어떻게 해야 하나요?
23,로즈리안,roserian,아하 그렇군요. 그럼 우리 둘이서 한 대 씩만 치면 되겠는 걸.
24,해스먼,roserian,대충 딜 견적을 내보니 그 정도면 되겠네요.
25,세나르,cenar,"그럼 빨강, 보라, 초록, 노랑 순으로 한 마리씩 잡아보세요."
